num;coord_x;coord_y
1158;331123.157;1221006
1159;331119.385;1221005
1160;331115.613;1221003
1161;331111.826;1221001
1162;331108.038;1220999
1163;331104.220;1220997
1164;331100.235;1220996
1165;331096.401;1220994
1166;331092.584;1220992
1167;331088.587;1220991
1168;331084.735;1220989
1169;331080.836;1220988
1170;331076.873;1220986
1171;331073.009;1220984
1172;331068.964;1220983
1173;331065.039;1220982
1174;331061.025;1220980
1175;331056.993;1220979
1176;331053.054;1220978
1177;331048.916;1220976
1178;331044.891;1220975
1179;331040.806;1220974
1180;331036.670;1220973
1181;331032.501;1220972
1182;331028.349;1220972
1183;331024.181;1220971
1184;331020.013;1220970
1185;331015.934;1220970
1186;331011.843;1220969
1187;331007.658;1220968
1188;331003.459;1220968
1189;330999.243;1220967
1190;330995.027;1220967
1191;330990.795;1220966
1192;330986.564;1220966
1193;330982.300;1220966
1194;330978.053;1220966
1195;330973.842;1220966
1196;330969.678;1220966
1197;330965.416;1220966
1198;330961.191;1220967
1199;330957.045;1220967
1200;330952.915;1220968
1201;330948.665;1220969
1202;330944.597;1220970
1203;330940.531;1220971
1204;330936.465;1220972
1205;330932.626;1220974
1206;330928.656;1220976
1207;330924.818;1220977
1208;330921.171;1220979
1209;330917.512;1220982
1210;330913.802;1220984
1211;330910.345;1220986
1212;330906.887;1220989
1213;330903.620;1220991
1214;330900.252;1220994
1215;330897.019;1220997
1216;330893.760;1221000
1217;330890.626;1221003
1218;330887.516;1221005
1219;330884.451;1221008
1220;330881.493;1221011
1221;330878.521;1221014
1222;330875.636;1221017
1223;330872.752;1221020
1224;330869.878;1221023
1225;330867.088;1221027
1226;330864.427;1221030
1227;330861.755;1221033
1228;330859.072;1221036
1229;330856.400;1221040
1230;330853.739;1221043
1231;330851.045;1221046
1232;330848.373;1221049
1233;330845.690;1221053
1234;330842.885;1221056
1235;330840.153;1221059
1236;330837.480;1221062
1237;330834.719;1221066
1238;330831.910;1221069
1239;330829.216;1221072
1240;330826.704;1221075
1241;330824.081;1221079
1242;330821.510;1221082
